Stage,Matches,Avg_Goals,Avg_Home_Goals,Avg_Away_Goals,Home_Win_Rate
Final,20,3.45,2.15,1.3,0.7
First round,9,4.889,3.333,1.556,0.778
Group 1,62,2.806,2.081,0.726,0.677
Group 2,59,3.169,2.407,0.763,0.678
Group 3,56,2.75,2.071,0.679,0.732
Group 4,55,3.2,2.309,0.891,0.709
Group 5,6,1.5,0.833,0.667,0.333
Group 6,12,4.75,3.583,1.167,0.833
Group A,60,2.667,1.283,1.383,0.367
Group B,60,2.817,1.667,1.15,0.5
Group C,48,2.625,1.604,1.021,0.5
Group D,48,2.562,1.521,1.042,0.438
Group E,48,2.521,1.354,1.167,0.375
Group F,48,1.938,1.125,0.812,0.438
Group G,30,2.333,1.4,0.933,0.467
Group H,30,2.4,1.3,1.1,0.433
Match for third place,15,3.933,2.533,1.4,0.8
Play-off for third place,2,3.0,0.0,3.0,0.0
Preliminary round,8,5.375,3.75,1.625,1.0
Quarter-finals,66,2.727,1.788,0.939,0.652
Round of 16,72,2.528,1.583,0.944,0.639
Semi-finals,36,3.639,2.111,1.528,0.556
Third place,2,4.5,2.5,2.0,0.5
