Team,Matches,Wins,Draws,Losses,Goals_For,Goals_Against,Win_Rate,Goals_Per_Match,Goal_Diff
Germany,48,34,6,8,104,46,0.708,2.17,58
Brazil,108,71,18,19,225,114,0.657,2.08,111
Germany FR,62,36,14,12,131,77,0.581,2.11,54
Argentina,81,44,15,22,133,85,0.543,1.64,48
Italy,83,45,21,17,128,77,0.542,1.54,51
Netherlands,54,29,14,11,91,49,0.537,1.69,42
Portugal,26,13,4,9,43,29,0.5,1.65,14
Turkey,10,5,1,4,20,17,0.5,2.0,3
Denmark,16,8,2,6,27,24,0.5,1.69,3
Spain,59,29,12,18,92,66,0.492,1.56,26
Soviet Union,31,15,6,10,53,34,0.484,1.71,19
Poland,31,15,5,11,44,40,0.484,1.42,4
France,61,29,12,20,108,72,0.475,1.77,36
Hungary,32,15,3,14,87,57,0.469,2.72,30
Croatia,16,7,2,7,21,17,0.438,1.31,4
Yugoslavia,37,16,8,13,60,46,0.432,1.62,14
England,62,26,20,16,79,56,0.419,1.27,23
Austria,29,12,4,13,43,47,0.414,1.48,-4
Ecuador,10,4,1,5,10,11,0.4,1.0,-1
Senegal,5,2,2,1,7,6,0.4,1.4,1
Colombia,20,8,2,10,29,29,0.4,1.45,0
Ukraine,5,2,1,2,5,7,0.4,1.0,-2
Uruguay,52,20,12,20,80,73,0.385,1.54,7
Romania,21,8,5,8,30,32,0.381,1.43,-2
Czechoslovakia,30,11,5,14,44,45,0.367,1.47,-1
Belgium,43,15,9,19,54,68,0.349,1.26,-14
Sweden,46,16,13,17,74,69,0.348,1.61,5
Jamaica,3,1,0,2,3,9,0.333,1.0,-6
Ghana,12,4,3,5,13,16,0.333,1.08,-3
C�te d'Ivoire,9,3,1,5,13,14,0.333,1.44,-1
Czech Republic,3,1,0,2,3,4,0.333,1.0,-1
Serbia,3,1,0,2,2,3,0.333,0.67,-1
German DR,6,2,2,2,5,5,0.333,0.83,0
"rn"">Bosnia and Herzegovina",3,1,0,2,4,4,0.333,1.33,0
Cuba,3,1,1,1,5,12,0.333,1.67,-7
Chile,34,11,8,15,41,50,0.324,1.21,-9
Switzerland,34,11,6,17,45,60,0.324,1.32,-15
Costa Rica,17,5,6,6,18,24,0.294,1.06,-6
Peru,15,4,3,8,19,31,0.267,1.27,-12
Nigeria,19,5,3,11,20,28,0.263,1.05,-8
Paraguay,27,7,10,10,30,38,0.259,1.11,-8
Mexico,54,14,14,26,58,94,0.259,1.07,-36
Slovakia,4,1,1,2,5,7,0.25,1.25,-2
Norway,8,2,3,3,7,8,0.25,0.88,-1
USA,34,8,6,20,38,64,0.235,1.12,-26
Japan,17,4,4,9,14,22,0.235,0.82,-8
Northern Ireland,13,3,5,5,13,23,0.231,1.0,-10
Russia,9,2,2,5,13,13,0.222,1.44,0
South Africa,9,2,4,3,11,16,0.222,1.22,-5
Algeria,14,3,3,8,14,21,0.214,1.0,-7
Wales,5,1,3,1,4,4,0.2,0.8,0
Greece,11,2,3,6,6,21,0.182,0.55,-15
Cameroon,23,4,7,12,18,43,0.174,0.78,-25
Scotland,23,4,7,12,25,41,0.174,1.09,-16
Slovenia,6,1,1,4,5,10,0.167,0.83,-5
Iran,6,1,1,4,5,12,0.167,0.83,-7
Korea Republic,31,5,9,17,31,67,0.161,1.0,-36
Saudi Arabia,13,2,2,9,9,32,0.154,0.69,-23
"rn"">Republic of Ireland",13,2,8,3,10,10,0.154,0.77,0
Australia,13,2,3,8,11,26,0.154,0.85,-15
Morocco,13,2,4,7,12,18,0.154,0.92,-6
Korea DPR,7,1,1,5,6,21,0.143,0.86,-15
Bulgaria,26,3,8,15,22,53,0.115,0.85,-31
Tunisia,12,1,4,7,8,17,0.083,0.67,-9
Iraq,3,0,0,3,1,4,0.0,0.33,-3
Haiti,3,0,0,3,2,14,0.0,0.67,-12
El Salvador,6,0,0,6,1,22,0.0,0.17,-21
"rn"">Trinidad and Tobago",3,0,1,2,0,4,0.0,0.0,-4
Angola,3,0,2,1,1,2,0.0,0.33,-1
"rn"">Serbia and Montenegro",3,0,0,3,2,10,0.0,0.67,-8
Bolivia,6,0,1,5,1,20,0.0,0.17,-19
Israel,3,0,2,1,1,3,0.0,0.33,-2
Togo,3,0,0,3,1,6,0.0,0.33,-5
Dutch East Indies,1,0,0,1,0,6,0.0,0.0,-6
Canada,3,0,0,3,0,5,0.0,0.0,-5
Zaire,3,0,0,3,0,14,0.0,0.0,-14
China PR,3,0,0,3,0,9,0.0,0.0,-9
Egypt,4,0,2,2,3,6,0.0,0.75,-3
IR Iran,6,0,2,4,2,10,0.0,0.33,-8
Kuwait,3,0,1,2,2,6,0.0,0.67,-4
New Zealand,6,0,3,3,4,14,0.0,0.67,-10
Honduras,9,0,3,6,3,14,0.0,0.33,-11
"rn"">United Arab Emirates",3,0,0,3,2,11,0.0,0.67,-9
