Year,Total_Matches,Total_Goals,Avg_Goals_Per_Match,Avg_Attendance,Home_Win_Rate,Draw_Rate,Away_Win_Rate
1930,18,70,3.889,328082.778,1.0,0.0,0.0
1934,17,70,4.118,213529.412,0.941,0.059,0.0
1938,18,84,4.667,208722.222,0.833,0.167,0.0
1950,22,88,4.0,475111.818,0.864,0.136,0.0
1954,26,140,5.385,295618.077,0.923,0.077,0.0
1958,35,126,3.6,234231.429,0.686,0.286,0.029
1962,32,89,2.781,279116.25,0.844,0.156,0.0
1966,32,89,2.781,488479.688,0.844,0.156,0.0
1970,32,95,2.969,501242.188,0.844,0.156,0.0
1974,38,97,2.553,490987.632,0.395,0.263,0.342
1978,38,102,2.684,406787.105,0.763,0.237,0.0
1982,52,146,2.808,405715.962,0.5,0.327,0.173
1986,52,132,2.538,460390.577,0.404,0.269,0.327
1990,52,115,2.212,483887.5,0.519,0.231,0.25
1994,52,141,2.712,689911.154,0.5,0.212,0.288
1998,64,171,2.672,435171.875,0.438,0.297,0.266
2002,64,161,2.516,422687.031,0.422,0.25,0.328
2006,64,147,2.297,524912.344,0.5,0.234,0.266
2010,64,145,2.266,496696.25,0.359,0.25,0.391
2014,80,206,2.575,553749.103,0.462,0.212,0.325
